Restaurant Name,Locality,Longitude,Latitude,Cuisines,Average Cost for two,Has Table booking,Has Online delivery,Aggregate rating,Votes
Corner Sweets,Kirti Nagar,77.1330407,28.649375899999995,"Mithai, Street Food",200,No,No,3.2,100
D'Casa,Kirti Nagar,77.1379553,28.6554914,"North Indian, Chinese, Italian, Fast Food",1100,Yes,No,2.7,63
Delhi 15,Kirti Nagar,77.1407751,28.655603499999998,"North Indian, Mughlai, Chinese",800,Yes,Yes,2.7,45
Dialogue Lounge & Cafí©,Kirti Nagar,77.13732309999999,28.654595699999998,"Cafe, Continental",750,No,No,3.0,4
Domino's Pizza,Kirti Nagar,77.1374776,28.6546527,"Pizza, Fast Food",700,No,No,3.3,57
Flavours From Heaven,Kirti Nagar,77.136123,28.6541881,"North Indian, Chinese",650,No,No,3.3,12
Flavours Of Biryani,Kirti Nagar,77.13122209999999,28.6474775,"Biryani, Mughlai",400,No,Yes,3.3,35
Flirty Momo's,Kirti Nagar,77.1306854,28.6489945,Chinese,350,No,Yes,3.0,6
Gedi Grill,Kirti Nagar,77.14861963,28.65784633,"North Indian, Mughlai, Chinese",700,No,No,3.4,143
Green Chick Chop,Kirti Nagar,77.1321064,28.6497956,"Raw Meats, North Indian, Fast Food",350,No,No,2.7,23
Indian Bites,Kirti Nagar,77.1501141,28.6563972,"North Indian, Chinese, Continental",550,No,Yes,2.7,41
Karan's Vaishno Dhaba,Kirti Nagar,77.13115920000001,28.648905199999998,North Indian,300,No,Yes,3.2,29
Le Swaadik,Kirti Nagar,77.1313623,28.648918,"North Indian, Chinese",500,No,No,3.3,13
Let's Meet Up,Kirti Nagar,77.14399081,28.64679749,"Fast Food, Bakery",350,No,No,3.2,16
Madan's Kabab Centre,Kirti Nagar,77.1312308,28.648963000000002,"North Indian, Mughlai",600,No,No,3.2,31
Midnight Fries,Kirti Nagar,77.1438903,28.652195399999997,"Chinese, Italian, Fast Food",550,No,Yes,2.7,46
Moradabadi Biryani,Kirti Nagar,77.13067990000002,28.6489773,"Lucknowi, Biryani",300,No,No,3.1,9
Namdhari's Icecream & Bakers,Kirti Nagar,77.1300673,28.6522005,"Desserts, Bakery, Fast Food",300,No,No,2.8,23
Pahariya Chicken Corner,Kirti Nagar,77.13020259999999,28.6484901,"Raw Meats, Fast Food",400,No,No,3.1,7
Pahariya Chicken,Kirti Nagar,77.1306672,28.6489962,North Indian,450,No,No,2.7,15
Pappi Machhi Wala,Kirti Nagar,77.12991540000002,28.6522777,North Indian,450,No,No,3.2,9
Pizza Hut Delivery,Kirti Nagar,77.13749150000001,28.654647399999998,"Italian, Pizza, Fast Food",800,No,Yes,2.6,67
Polka Cakes & Coffee,Kirti Nagar,77.1366651,28.650206,"Fast Food, Chinese, Bakery",400,No,No,3.3,17
Punjabi Joint,Kirti Nagar,77.1422056,28.6553478,"Mughlai, North Indian, Chinese",600,No,No,2.8,4
Rain Tree Grill,Kirti Nagar,77.1384066,28.655369,"North Indian, Chinese, Mughlai",1200,Yes,Yes,3.2,74
Resunga Food Corner,Kirti Nagar,77.1317062,28.6494447,"Chinese, Mughlai",600,No,No,3.0,5
Shri Ram Poori Wale,Kirti Nagar,77.1407866,28.657062100000005,Street Food,50,No,No,2.8,8
Supa's Restaurant,Kirti Nagar,77.142172,28.6506233,"North Indian, Chinese",800,Yes,No,3.2,50
Swad Fast Food,Kirti Nagar,77.13043333,28.65249167,"Chinese, South Indian",300,No,No,2.9,16
Syall Kotian Da Dhaba,Kirti Nagar,77.1313127,28.6489309,North Indian,600,No,No,3.0,20
The Krib,Kirti Nagar,77.1384406,28.655728600000003,"Italian, Continental",2500,Yes,No,3.2,14
Turtle Bay,Kirti Nagar,77.1362569,28.6543517,"North Indian, Chinese, Fast Food",1100,Yes,No,3.4,74
Yakooz,Kirti Nagar,77.130674,28.6489739,"Hyderabadi, North Indian",550,No,No,3.1,20
Above & Beyond,Kirti Nagar,77.1375537,28.6546314,"North Indian, Chinese, Mughlai, Continental",1200,Yes,Yes,3.5,133
Bawa Chicken,Kirti Nagar,77.14285190000001,28.6552663,"North Indian, Mughlai, Chinese",650,No,No,3.5,98
Chatore,Kirti Nagar,77.1438814,28.652189899999996,Street Food,250,No,No,3.6,26
Chocomore,Kirti Nagar,0.0,0.0,Bakery,500,No,No,3.7,68
Clay 1 Grill,Kirti Nagar,77.1394952,28.655594899999997,"North Indian, Mughlai",1000,Yes,No,3.6,283
Firangi Island,Kirti Nagar,77.15198240000001,28.657538300000002,"North Indian, Chinese, Continental, Italian",1200,Yes,No,3.5,21
Jeet Chaat Bhandar,Kirti Nagar,77.129287,28.651894899999995,Street Food,150,No,No,3.5,23
Mr. Grill,Kirti Nagar,77.1374755,28.6554434,"North Indian, Chinese",600,No,Yes,3.6,55
Tikka Junction,Kirti Nagar,77.1409427,28.6559956,"North Indian, Chinese",750,No,Yes,3.5,102
Momos Hut & Chinese Food,Kirti Nagar,77.1367382,28.6503488,"Chinese, Fast Food",500,No,No,2.4,20
Wah Ji Wah,Kirti Nagar,77.1284425,28.6517775,North Indian,350,No,No,2.1,54
Yo! China,Kirti Nagar,77.1466423,28.6568197,Chinese,800,No,Yes,2.4,39
Aapki Apni Rasoi,Krishna Nagar,77.28626159999999,28.661112,North Indian,200,No,No,2.9,6
Aapki Rasoi,Krishna Nagar,77.28618829999999,28.6611167,North Indian,250,No,No,3.0,15
Advance Bakery,Krishna Nagar,0.0,0.0,"Bakery, Fast Food, Street Food",200,No,No,2.9,7
Apni Rasoi,Krishna Nagar,77.284295,28.66551167,"North Indian, Chinese",300,No,No,2.9,16
Bakeyard,Krishna Nagar,0.0,0.0,Bakery,300,No,No,3.0,6
Bharat Chicken Inn Foods,Krishna Nagar,77.27581099,28.65854624,Mughlai,400,No,No,2.9,9
Bobby Veg Corner,Krishna Nagar,77.24231,28.57606,Chinese,350,No,No,2.9,5
Brunch Point,Krishna Nagar,77.2821,28.65905,North Indian,150,No,No,2.9,4
Bunty Dhaba,Krishna Nagar,77.273111,28.6590466,"North Indian, Chinese",500,No,Yes,2.5,50
Chandni Chowk Ka Sonu Parathe Wala,Krishna Nagar,77.27225809999999,28.658652000000004,Street Food,100,No,No,3.1,12
Chankya,Krishna Nagar,77.2815054,28.659351399999995,"North Indian, Fast Food, South Indian",500,No,No,3.2,79
Chaudhary Di Hatti,Krishna Nagar,77.2814976,28.6602651,"Desserts, Street Food",150,No,No,3.3,20
Cook Du Kdu,Krishna Nagar,77.2882675,28.65986279,"North Indian, Chinese, Mughlai",650,No,Yes,3.2,52
Daawat Restaurant,Krishna Nagar,77.28064599999999,28.65981866,"North Indian, Chinese, South Indian",500,No,Yes,3.3,26
Delhi Dairy,Krishna Nagar,0.0,0.0,"Fast Food, North Indian, South Indian, Chinese, Bakery",350,No,No,3.2,11
Domino's Pizza,Krishna Nagar,77.2778171,28.652273100000002,"Pizza, Fast Food",700,No,No,2.9,13
Domino's Pizza,Krishna Nagar,77.27881640000001,28.66104399,"Pizza, Fast Food",700,No,No,3.1,75
F 2 Pastry Shop,Krishna Nagar,77.28128259999998,28.6602119,"Bakery, Fast Food",150,No,No,3.3,26
Food Villa,Krishna Nagar,77.27833997,28.65951181,"North Indian, Chinese",700,No,No,2.9,10
Goosebumps,Krishna Nagar,77.2779662,28.6523602,"Ice Cream, Desserts",300,No,No,3.2,6
Gulab,Krishna Nagar,77.2836334,28.659256699999997,"Mithai, North Indian",500,No,No,3.3,12
Health Buzzz,Krishna Nagar,77.285347,28.65975,Healthy Food,350,No,Yes,3.1,22
Jain Dhaba,Krishna Nagar,77.27232740000001,28.658902500000003,North Indian,400,No,No,3.2,30
Jeeta Kulfi Walle,Krishna Nagar,77.279894,28.6596933,Desserts,100,No,No,3.3,12
Kamal Meat House,Krishna Nagar,77.2725723,28.657741100000003,North Indian,400,No,No,2.6,15
Katyani Rasoi,Krishna Nagar,77.2767835,28.652309000000002,North Indian,300,No,No,3.2,10
Magic Masala,Krishna Nagar,77.2819196,28.659387300000002,"North Indian, South Indian",400,No,No,3.0,11
Masala Magic,Krishna Nagar,77.2815369,28.6592597,"North Indian, South Indian, Fast Food",400,No,No,3.0,16
Mother Sweets,Krishna Nagar,77.2843782,28.657921899999998,Mithai,100,No,No,3.4,15
Panj Taara,Krishna Nagar,77.2805179,28.6573761,North Indian,600,No,No,3.1,8
Prince Fried N Grilled Chicken,Krishna Nagar,77.2776449,28.652891999999998,North Indian,450,No,No,2.7,18
Punjabi's Veg Grill,Krishna Nagar,77.28298670000001,28.659805699999996,"North Indian, Fast Food",400,No,No,3.1,10
Raja Chat Corner,Krishna Nagar,77.2836092,28.6592244,Street Food,100,No,No,3.3,20
Rajshree,Krishna Nagar,77.28060759999998,28.6573846,"North Indian, Chinese",550,No,No,3.3,16
Sachdeva Chicken Corner,Krishna Nagar,77.2750291,28.6583725,North Indian,500,No,No,3.4,39
Shree Rathnam,Krishna Nagar,77.2814156,28.660238899999996,"South Indian, North Indian, Chinese",800,No,Yes,2.9,66
Sialkot,Krishna Nagar,77.27818359999999,28.651599199999996,North Indian,250,No,No,3.1,7
Singh-O-Singh Kebabs,Krishna Nagar,77.28203908,28.65563419,"North Indian, Mughlai",500,No,Yes,3.1,54
Super Snacks,Krishna Nagar,77.2794854,28.6595627,"South Indian, Fast Food, Street Food",500,No,No,3.1,44
Tandoori Night,Krishna Nagar,77.27633871,28.6588784,"North Indian, Mughlai",600,No,No,3.1,15
The Chaupal Bar And Restaurant,Krishna Nagar,77.2833907,28.659888899999995,"Chinese, North Indian",800,Yes,No,2.9,14
The Grill Point,Krishna Nagar,0.0,0.0,"Chinese, Mughlai, North Indian",350,No,No,3.0,4
The Roll Hut,Krishna Nagar,77.27388590000001,28.6580718,"Chinese, Fast Food",200,No,No,3.1,13
Triveni,Krishna Nagar,77.27317120000001,28.6565918,"North Indian, South Indian, Chinese, Fast Food",300,No,No,3.2,31
Gokul Foods,Krishna Nagar,77.27800409999999,28.651940500000002,"North Indian, Chinese",550,No,No,3.6,22
Papa Pizza,Krishna Nagar,77.2855453,28.6575847,"Pizza, Fast Food",450,No,No,3.5,21
Aalishaan,Krishna Nagar,77.28353441,28.65124712,"Chinese, North Indian",300,No,No,0.0,2
Amritsari Chaat Bhandar,Krishna Nagar,0.0,0.0,Street Food,200,No,No,0.0,1
Bansal Foods,Krishna Nagar,0.0,0.0,North Indian,600,No,No,0.0,0
Bhatia Chinese Food,Krishna Nagar,77.28214670000001,28.655136900000002,"Chinese, South Indian, Fast Food",200,No,No,0.0,0
Break Fast Junction,Krishna Nagar,77.28215106,28.65558682,North Indian,200,No,No,0.0,0
Breakfast Hut,Krishna Nagar,77.2822453,28.655521399999998,North Indian,200,No,No,0.0,0
Buddy 's. Pizza,Krishna Nagar,77.28255240000001,28.660628999999997,Pizza,300,No,No,0.0,0
Chai Garam,Krishna Nagar,77.28349753,28.65748122,"Beverages, Fast Food",150,No,No,0.0,0
Deepu Fish & Chicken,Krishna Nagar,77.27628940000001,28.6588582,North Indian,500,No,No,0.0,2
deliKitchen,Krishna Nagar,0.0,0.0,"North Indian, Chinese, South Indian, Fast Food",350,No,No,0.0,3
Dial A Cake,Krishna Nagar,77.28099915,28.65655592,"Bakery, Fast Food",400,No,Yes,0.0,2
Fuel Diet Cafe,Krishna Nagar,77.28421879999999,28.6576075,Healthy Food,350,No,No,0.0,0
GO CHATZ With Breadz,Krishna Nagar,77.28083259999998,28.6590094,"Chinese, Fast Food",250,No,No,0.0,1
Goldy Chat Bhandar,Krishna Nagar,77.28,28.66,Street Food,100,No,No,0.0,0
Green Chick Chop,Krishna Nagar,77.27822732,28.65948063,"Raw Meats, Fast Food",350,No,No,0.0,2
Hungry Heights,Krishna Nagar,77.2815094,28.660251199999998,Fast Food,300,No,No,0.0,2
Kebabish,Krishna Nagar,77.2777796,28.6525016,North Indian,550,No,No,0.0,0
Khalsa Dhaba,Krishna Nagar,77.2730949,28.6590094,North Indian,350,No,No,0.0,0
Khanna's Hot Pizza,Krishna Nagar,77.28295229999999,28.659756400000003,Pizza,350,No,No,0.0,1
Lets Eat Veg,Krishna Nagar,77.2820172,28.659436100000004,North Indian,450,No,No,0.0,2
Mitra Da Dhabha,Krishna Nagar,0.0,0.0,"Mughlai, North Indian",350,No,No,0.0,0
Murliwala Bakers,Krishna Nagar,77.285269,28.651044,"Bakery, Fast Food",250,No,No,0.0,0
Panjabi Chic-Shoppe,Krishna Nagar,77.28330090000001,28.65997,"Raw Meats, Street Food",300,No,No,0.0,0
Raj Petha Bhandar,Krishna Nagar,77.28334579999999,28.660019000000002,Mithai,200,No,No,0.0,1
Ramlal Sweets,Krishna Nagar,77.2777667,28.6530845,Mithai,100,No,No,0.0,0
Sanjha Chula Baba Da,Krishna Nagar,77.2832005,28.660009499999997,North Indian,250,No,No,0.0,1
Sri Krishna,Krishna Nagar,77.28318279999999,28.659872999999997,Street Food,200,No,No,0.0,0
Sugandh Corner,Krishna Nagar,77.28492778,28.65814167,South Indian,250,No,No,0.0,3
The Friends Cafe,Krishna Nagar,0.0,0.0,"Chinese, Italian",300,No,No,0.0,0
The Muffin Girl,Krishna Nagar,77.28106979,28.6578175,Bakery,400,No,No,0.0,3
Rainbows,Lado Sarai,77.19549599999999,28.523803000000004,"Bakery, Fast Food",400,No,Yes,3.1,10
The Nest,Lado Sarai,77.19395970000001,28.529175800000004,"Continental, Italian, North Indian",2200,Yes,No,3.5,218
Burger Head Quarter BHQ,Lado Sarai,77.1922337,28.5278024,Fast Food,300,No,No,0.0,1
Chez Jerome - Q Cafe,Lado Sarai,0.0,0.0,"Cafe, French",1500,Yes,No,0.0,1
Mr. Billiken,Lado Sarai,77.1941204,28.527892699999995,North Indian,600,No,No,0.0,0
Mulligan Cafe,Lado Sarai,0.0,0.0,"South Indian, Fast Food",300,No,No,0.0,1
Naya Adda,Lado Sarai,77.1918882,28.528098699999997,Fast Food,200,No,No,0.0,0
OCD - Online Cake Delivery,Lado Sarai,77.1954089,28.523118800000002,"Bakery, Desserts",200,No,No,0.0,1
Puja Sandwich House,Lado Sarai,77.1954681,28.523180199999995,Fast Food,300,No,No,0.0,1
Ambersari Dhaba,Lajpat Nagar 1,77.23905969,28.57857977,Fast Food,250,No,No,3.4,44
Arabian Knites,Lajpat Nagar 1,77.24256869,28.57548265,"Cafe, Chinese",500,No,No,3.0,7
Aryan's Rajasthani Pyaz Ki Kachori,Lajpat Nagar 1,77.24,28.58,Street Food,100,No,No,3.1,4
Aviram's Chinese Kitchen,Lajpat Nagar 1,77.2428349,28.57509517,"Chinese, Fast Food",250,No,Yes,2.7,4
Bhagwan Sweets,Lajpat Nagar 1,77.24261798,28.57557569,"Mithai, North Indian, Chinese, Street Food",250,No,No,2.8,8
Chawla,Lajpat Nagar 1,77.24215731,28.57518762,"North Indian, Chinese",400,No,Yes,2.7,7
Chinese Hut,Lajpat Nagar 1,77.24129397,28.57850528,"Chinese, Fast Food",450,No,Yes,3.2,56
Flavourz,Lajpat Nagar 1,77.242238,28.578557,Fast Food,150,No,Yes,3.3,6
Lets Bake Love,Lajpat Nagar 1,77.24030400000001,28.573524,"Bakery, Desserts",600,No,No,3.0,4
Mahadev Dhaba,Lajpat Nagar 1,77.24246509,28.57534897,North Indian,100,No,Yes,2.6,10
Sethi's Food Corner,Lajpat Nagar 1,77.24189311,28.57523591,"Chinese, North Indian",550,No,No,3.3,40
Sethi's Restaurant,Lajpat Nagar 1,77.24015605,28.57749657,"North Indian, Chinese, Fast Food",700,No,Yes,3.4,49
Sindhi Kulfi,Lajpat Nagar 1,77.24651657,28.56557384,"Desserts, Ice Cream",100,No,No,3.0,4
Sri Kamakshi Vilas,Lajpat Nagar 1,77.24151291,28.57573998,"South Indian, North Indian",400,No,No,2.7,9
The Midnight Hub - C,Lajpat Nagar 1,77.245041,28.57453,"North Indian, Chinese, Fast Food",450,No,Yes,2.6,102
Anand Ji,Lajpat Nagar 1,77.24148139,28.57535368,"North Indian, Street Food",200,No,No,3.8,183
Happy Hakka,Lajpat Nagar 1,77.23999545,28.57443534,"Chinese, Asian, Thai",650,No,Yes,3.7,270
Oberoi's,Lajpat Nagar 1,77.23870397,28.57748273,North Indian,600,No,Yes,3.6,75
Relax Restaurant,Lajpat Nagar 1,77.24144083,28.57326317,"North Indian, Mughlai",800,Yes,Yes,3.5,116
Al-Rihan,Lajpat Nagar 1,77.24159539,28.57591488,Mughlai,250,No,No,0.0,0
All Day 99,Lajpat Nagar 1,77.2377796,28.575746000000002,"North Indian, Chinese, South Indian",250,No,Yes,0.0,3
Anna Dosa,Lajpat Nagar 1,77.2415063,28.5752885,South Indian,300,No,No,0.0,3
Chick Chicken House,Lajpat Nagar 1,77.23935641,28.57287833,"Raw Meats, Fast Food",250,No,No,0.0,2
Chicken King,Lajpat Nagar 1,77.2410469,28.5786022,Mughlai,300,No,No,0.0,1
Choco Kraft,Lajpat Nagar 1,77.23900907,28.57783516,"Bakery, Desserts",300,No,Yes,0.0,2
Cocoalicious Delights,Lajpat Nagar 1,0.0,0.0,"Bakery, Desserts",300,No,No,0.0,0
FNV,Lajpat Nagar 1,77.23922364,28.57852765,"North Indian, Chinese",600,No,No,0.0,2
Food En Vouge,Lajpat Nagar 1,77.23921526,28.5786572,North Indian,400,No,Yes,0.0,0
Food Junction,Lajpat Nagar 1,77.2533595,28.5690147,Chinese,300,No,No,0.0,0
Gian Ji Punjabi Dhaba,Lajpat Nagar 1,77.2529469,28.569440999999998,North Indian,150,No,No,0.0,0
Govinda,Lajpat Nagar 1,77.2430561,28.575188899999997,Street Food,100,No,No,0.0,1
Intermission,Lajpat Nagar 1,77.23870397,28.57748273,"Bakery, Fast Food",200,No,Yes,0.0,3
Karma Cafe & Lounge,Lajpat Nagar 1,77.23939179999999,28.575345399999996,"North Indian, Chinese",350,No,Yes,0.0,1
Lotes Bakes,Lajpat Nagar 1,77.2427407,28.5753441,Bakery,300,No,Yes,0.0,0
New Anna Ka Dosa,Lajpat Nagar 1,77.25299790000001,28.569489299999997,South Indian,250,No,No,0.0,1
New Sethi's,Lajpat Nagar 1,77.24355239,28.57387443,"Mughlai, North Indian",500,No,No,0.0,0
Punjab Sweets,Lajpat Nagar 1,77.24115785,28.57857859,"Mithai, Street Food",150,No,No,0.0,2
Shri Ram Dhaba,Lajpat Nagar 1,77.2423223,28.5755255,North Indian,200,No,No,0.0,0
Standard Punjabi Food,Lajpat Nagar 1,77.24150252,28.57324197,North Indian,200,No,Yes,0.0,3
Sunrise Bakery,Lajpat Nagar 1,0.0,0.0,Bakery,400,No,No,0.0,0
Taste of Spice,Lajpat Nagar 1,77.2413122,28.578310700000003,North Indian,400,No,Yes,0.0,0
The Celiac Kitchen,Lajpat Nagar 1,0.0,0.0,North Indian,500,No,No,0.0,0
Aggarwal Sweet Corner,Lajpat Nagar 2,77.24370340000002,28.569009299999998,"North Indian, Chinese, Street Food, Mithai",300,No,Yes,3.4,22
Behrouz Biryani,Lajpat Nagar 2,77.24334420000001,28.569244,Biryani,600,No,Yes,3.0,32
Biryani Blues,Lajpat Nagar 2,77.2464874,28.5668537,"Biryani, Hyderabadi",1000,Yes,Yes,3.1,8
Burger King,Lajpat Nagar 2,77.2430012,28.569341899999998,"Burger, Fast Food",500,No,Yes,3.4,45
Domino's Pizza,Lajpat Nagar 2,77.241099,28.5701061,"Pizza, Fast Food",700,No,No,2.5,47
Gopal (Sindhi) Restaurant,Lajpat Nagar 2,77.246667,28.5659744,"North Indian, Mughlai",650,No,Yes,3.4,59
Kabul Delhi,Lajpat Nagar 2,77.2445117,28.570251399999997,Afghani,550,No,Yes,2.9,39
Khan Chacha,Lajpat Nagar 2,77.241099,28.5701061,"Mughlai, North Indian",650,No,Yes,2.9,31
Pizza Hut Delivery,Lajpat Nagar 2,77.24669859999999,28.5674166,"Italian, Pizza, Fast Food",800,No,Yes,2.8,54
Punjabi Jaika,Lajpat Nagar 2,77.23807579999999,28.571635600000004,"North Indian, Street Food",250,No,No,3.3,40
Rozy Restaurant,Lajpat Nagar 2,77.2428952,28.569470199999998,"North Indian, South Indian, Chinese",500,No,No,2.6,50
Taj Cafe,Lajpat Nagar 2,77.243883,28.5693849,"North Indian, Chinese",600,No,No,3.1,18
Tewari Sweets,Lajpat Nagar 2,77.2462179,28.566648800000003,"Mithai, North Indian, South Indian, Chinese, Street Food",500,No,No,3.1,33
The Burger Hut & Cake Shop,Lajpat Nagar 2,77.24065,28.571408,"Burger, Fast Food, Chinese, Bakery",300,No,Yes,3.0,41
Angel's Basket,Lajpat Nagar 2,77.2403585,28.5714391,Bakery,200,No,No,3.5,70
Bikanervala,Lajpat Nagar 2,77.2390334,28.571074900000003,"North Indian, South Indian, Fast Food, Street Food, Chinese, Beverages, Desserts, Mithai",550,No,Yes,3.7,269
Haldiram's,Lajpat Nagar 2,77.2384048,28.565099100000005,"North Indian, South Indian, Chinese, Street Food, Fast Food, Mithai, Desserts",600,No,No,3.8,472
Moon of Taj,Lajpat Nagar 2,77.2430159,28.570231300000003,Desserts,500,No,Yes,3.8,21
Tongue Thai'd,Lajpat Nagar 2,77.2393235,28.571054800000002,"Asian, Thai",1000,No,Yes,3.7,57
Udupi Sai Sarover,Lajpat Nagar 2,77.2398417,28.5703451,"North Indian, South Indian, Chinese",550,No,No,3.8,63
Wagh Bakri Tea Lounge,Lajpat Nagar 2,77.2392131,28.571181699999997,Cafe,550,No,No,3.5,54
K2 Multi Cuisine Restaurant,Lajpat Nagar 2,77.2373271,28.5717193,"North Indian, Mughlai, Nepalese, Tibetan, Korean",1000,Yes,No,0.0,2
Tibet Kitchen,Lajpat Nagar 4,77.2452301,28.5638657,"Tibetan, Chinese",500,No,No,3.5,515
Baba Nagpal Corner,Lajpat Nagar 4,77.24065,28.563788800000005,"North Indian, Street Food",150,No,No,4.1,577
Burger Street,Lawrence Road,77.158043,28.692034600000003,Fast Food,300,No,No,3.4,32
Dilli Zaika,Lawrence Road,77.1598506,28.6897195,"Fast Food, South Indian, Chinese",300,No,No,3.2,23
Mughal Chic Inn,Lawrence Road,77.15808790000001,28.686262899999996,"Mughlai, North Indian",600,No,No,3.3,23
Nutrition Theka,Lawrence Road,77.1597056,28.6889256,Cafe,500,No,No,3.3,12
Punjabi Chaap Corner,Lawrence Road,77.1613602,28.689127000000003,"North Indian, Fast Food",550,No,No,3.1,20
Samosa Street,Lawrence Road,77.1576386,28.691682399999998,"Fast Food, Street Food",200,No,No,3.3,7
Shanu's Chicken Planet,Lawrence Road,77.16032244,28.69054589,"North Indian, Mughlai, Chinese, Italian",450,No,No,3.2,11
Shanu's Food Shop,Lawrence Road,77.1602156,28.690639500000003,"North Indian, Chinese, Fast Food",450,No,Yes,2.8,13
Bigbee,Lawrence Road,77.158043,28.691676399999995,Bakery,100,No,No,0.0,0
Delhi 6 Cafe,Lawrence Road,77.15777990000001,28.690152,"Chinese, South Indian",300,No,No,0.0,0
Lala Ji Sweets,Lawrence Road,0.0,0.0,"Mithai, Street Food",300,No,No,0.0,0
MK's Chinese Food,Lawrence Road,77.1555845,28.6834348,"Chinese, Fast Food",250,No,No,0.0,0
Nirvana The Divine Kitchen,Lawrence Road,77.15952659999999,28.6889287,"North Indian, Chinese",700,No,No,0.0,0
Preechen,Lawrence Road,77.1576386,28.691861499999998,"North Indian, Fast Food",400,No,No,0.0,0
Rahul Eggs,Lawrence Road,77.1627161,28.687109999999997,"Fast Food, South Indian",400,No,No,4.2,762
7 Stick,Laxmi Nagar,77.27912629999999,28.631572,"Pizza, Fast Food",250,No,No,2.8,8
Aashirwad Restaurant,Laxmi Nagar,77.28464220000001,28.6367385,"North Indian, Chinese",400,No,Yes,2.6,5
Amar Bakery,Laxmi Nagar,77.2828507,28.6340688,"Fast Food, Mithai, Bakery",250,No,No,3.3,13
Apni Rasoi,Laxmi Nagar,77.27768979999999,28.6307187,North Indian,400,No,No,3.1,24
Baked Buns,Laxmi Nagar,77.2731602,28.630173600000003,Fast Food,500,No,Yes,3.1,18
Banspi,Laxmi Nagar,77.2787671,28.634047,Chinese,350,No,No,2.9,13
Benchmark,Laxmi Nagar,77.27615949999999,28.6305918,"Chinese, Continental, Mexican",500,No,No,2.8,14
Bobby Tikki Wala,Laxmi Nagar,77.2784272,28.631535999999997,Street Food,250,No,No,3.0,74
Cafe Coffee Day,Laxmi Nagar,77.2855554,28.636372899999998,Cafe,450,No,No,2.7,18
Cafe Coffee Day,Laxmi Nagar,77.2866228,28.636621500000004,Cafe,450,No,No,2.8,14
Canteeno,Laxmi Nagar,77.278285,28.631552799999998,"North Indian, Chinese",200,No,No,3.0,7
Chai Mantra,Laxmi Nagar,77.2813009,28.6342002,"Fast Food, Beverages",200,No,No,3.2,15
Chandni Chowk ke Mashhoor Makkhan Wale Paranthe,Laxmi Nagar,77.27912629999999,28.6333642,North Indian,200,No,No,2.8,9
Chandni Chowk Parantha Corner,Laxmi Nagar,77.2773248,28.6312335,North Indian,100,No,No,3.1,8
Chauhan Laxmi Sweets,Laxmi Nagar,77.2754966,28.6306728,Mithai,150,No,No,3.0,11
Chawla's The Cake Room,Laxmi Nagar,77.2794854,28.639850199999998,"Bakery, Fast Food, Beverages",250,No,Yes,3.4,17
China Town,Laxmi Nagar,77.2791124,28.637648300000002,Chinese,250,No,No,2.9,11
Domino's Pizza,Laxmi Nagar,77.2787671,28.631896299999998,"Pizza, Fast Food",700,No,No,2.6,46
Faasos,Laxmi Nagar,77.2817105,28.634161199999998,"North Indian, Fast Food",600,No,Yes,2.6,10
Fast Trax,Laxmi Nagar,77.28422509999999,28.6386148,Fast Food,250,No,Yes,3.2,4
Finger Licious,Laxmi Nagar,77.28506490000001,28.6356053,"Bakery, Fast Food",200,No,Yes,3.4,188
Gulshan Pastry Shop,Laxmi Nagar,77.28535550000001,28.635838500000002,Bakery,200,No,No,3.0,9
Handa's,Laxmi Nagar,77.2830396,28.640576899999996,"North Indian, Chinese",500,No,Yes,2.6,8
Homely Delight,Laxmi Nagar,77.2827592,28.6391685,"Mughlai, Biryani",400,No,No,3.1,7
Jahangeer Foods,Laxmi Nagar,77.2846595,28.637565000000002,"North Indian, Mughlai",500,No,Yes,2.7,64
Kaleva,Laxmi Nagar,77.2889229,28.6378972,"North Indian, Mithai",400,No,No,3.3,61
Laxmi Vaishno Dhaba,Laxmi Nagar,77.28325490000002,28.634639899999996,North Indian,300,No,No,3.0,13
Little Pleasure Restaurant & Cafe,Laxmi Nagar,77.27768979999999,28.6307187,"North Indian, Chinese",600,No,No,2.9,7
Mauryan Multi Cuisine Restaurant,Laxmi Nagar,77.28255340000001,28.641302399999997,"North Indian, Chinese",900,No,Yes,3.4,31
Mehta Food Junction,Laxmi Nagar,77.28461479999999,28.635231,"North Indian, South Indian",300,No,Yes,3.0,8
Om Bikaner Wale,Laxmi Nagar,77.2841775,28.635299100000005,"Mithai, Street Food",200,No,No,2.8,8
Ovenstory Pizza,Laxmi Nagar,77.281315,28.632793,"Pizza, Fast Food",500,No,Yes,2.9,17
Prasadam,Laxmi Nagar,77.2807048,28.6328809,"South Indian, Fast Food",400,No,No,2.8,34
Priyanshi Fast Food,Laxmi Nagar,77.2798618,28.632121100000003,South Indian,300,No,No,3.3,29
Punjabi Tadka,Laxmi Nagar,77.2791913,28.639466,North Indian,350,No,No,3.1,21
Pyaali,Laxmi Nagar,77.28276461,28.63415519,"Fast Food, Tea",200,No,Yes,2.8,7
Ruby Dhaba,Laxmi Nagar,77.2794854,28.645584999999997,North Indian,500,No,No,2.7,25
Shree Manakamna Fast Food,Laxmi Nagar,77.27325520000001,28.6300597,Chinese,300,No,No,3.4,31
The Chinese Hut,Laxmi Nagar,77.2759194,28.6351409,"Chinese, Fast Food",350,No,No,3.0,10
